product_id,name,keywords,description,text
19,进口红酒礼盒,红酒 法国 礼盒,法国AOC级，双支礼盒装，木塞包装,进口红酒礼盒 红酒 法国 礼盒 法国AOC级，双支礼盒装，木塞包装
18,智能保温杯,保温杯 智能 温度显示,316不锈钢，LED温度显示，24小时保温,智能保温杯 保温杯 智能 温度显示 316不锈钢，LED温度显示，24小时保温
17,负离子吹风机,吹风机 负离子 护发,1800W大功率，千万级负离子，快速干发,负离子吹风机 吹风机 负离子 护发 1800W大功率，千万级负离子，快速干发
16,记忆棉床垫,床垫 记忆棉 独立袋,5cm记忆棉，独立袋装弹簧，承托均匀,记忆棉床垫 床垫 记忆棉 独立袋 5cm记忆棉，独立袋装弹簧，承托均匀
15,乳胶枕,枕头 乳胶 保健,天然乳胶，透气防螨，护颈助眠,乳胶枕 枕头 乳胶 保健 天然乳胶，透气防螨，护颈助眠
14,有机蔬菜礼盒,蔬菜 有机 礼盒,8种有机蔬菜，当日采摘，新鲜直达,有机蔬菜礼盒 蔬菜 有机 礼盒 8种有机蔬菜，当日采摘，新鲜直达
13,进口智利车厘子,车厘子 樱桃 进口,智利空运，果径28-30mm，甜度高,进口智利车厘子 车厘子 樱桃 进口 智利空运，果径28-30mm，甜度高
12,休闲工装裤,工装裤 多口袋 休闲,耐磨面料，多口袋设计，实用时尚,休闲工装裤 工装裤 多口袋 休闲 耐磨面料，多口袋设计，实用时尚
11,连帽卫衣女,卫衣 连帽 加绒,宽松版型，内里加绒，保暖舒适,连帽卫衣女 卫衣 连帽 加绒 宽松版型，内里加绒，保暖舒适
10,运动跑鞋,跑鞋 运动 透气,飞织鞋面，橡胶大底，减震耐磨,运动跑鞋 跑鞋 运动 透气 飞织鞋面，橡胶大底，减震耐磨
9,复古牛仔裤男,牛仔裤 复古 直筒,经典水洗工艺，宽松直筒版型,复古牛仔裤男 牛仔裤 复古 直筒 经典水洗工艺，宽松直筒版型
8,纯棉基础T恤,T恤 纯棉 圆领,100%纯棉，舒适透气，多色可选,纯棉基础T恤 T恤 纯棉 圆领 100%纯棉，舒适透气，多色可选
7,Sony WH-1000XM5,索尼 头戴式耳机 降噪,行业领先降噪，30小时续航,Sony WH-1000XM5 索尼 头戴式耳机 降噪 行业领先降噪，30小时续航
6,Apple Watch Series 9,苹果 智能手表,S9芯片，全天候视网膜显示屏,Apple Watch Series 9 苹果 智能手表 S9芯片，全天候视网膜显示屏
5,iPad Air 5,苹果 平板 M1,M1芯片，10.9英寸Liquid视网膜屏,iPad Air 5 苹果 平板 M1 M1芯片，10.9英寸Liquid视网膜屏
4,AirPods Pro 2,苹果 蓝牙耳机 降噪,主动降噪，通透模式，MagSafe充电盒,AirPods Pro 2 苹果 蓝牙耳机 降噪 主动降噪，通透模式，MagSafe充电盒
3,MacBook Air M3 13寸,苹果 笔记本 轻薄本,M3芯片，8核CPU，10核GPU，16GB内存,MacBook Air M3 13寸 苹果 笔记本 轻薄本 M3芯片，8核CPU，10核GPU，16GB内存
2,iPhone 15 Pro 256GB,苹果 手机 5G,搭载A17 Pro芯片，钛金属边框，48MP主摄,iPhone 15 Pro 256GB 苹果 手机 5G 搭载A17 Pro芯片，钛金属边框，48MP主摄
1,xmj个人信息,个人图片,xmj个人信息,xmj个人信息 个人图片 xmj个人信息
